Size (Byte);NOINIT_SEQ_READ ExpectedValue;NOINIT_SEQ_READ Stddev;INIT_SEQ_READ ExpectedValue;INIT_SEQ_READ Stddev
1250000;19.8700;12.0205;708.2080;3.0278
1255000;391.7920;64.3989;695.2200;3.0836
1260000;439.8120;12.4776;679.8020;4.7626
1265000;443.9260;15.9887;673.0360;8.7392
1270000;456.8280;16.2228;646.4180;16.4644
1275000;456.8140;13.0146;641.5840;3.7634
1280000;441.3500;13.8475;634.6000;14.9878
1285000;441.0560;10.4087;623.0580;14.9031
1290000;455.7860;16.2436;603.9180;2.5676
1295000;342.6900;119.6061;591.4000;5.3906
1300000;462.0360;13.6131;582.6060;4.7362
1305000;356.1720;136.4895;570.5120;7.4872
1310000;474.9060;8.5268;560.3080;11.2567
1315000;465.8460;6.7970;535.6260;23.3316
1320000;466.4340;13.1665;525.8600;15.6734
1325000;439.2520;29.1074;510.3140;5.8786
1330000;463.0420;10.4668;497.0660;8.7003
1335000;454.6860;9.2973;483.6320;4.5052
1340000;463.8080;19.1626;476.1420;3.7149
1345000;454.6780;25.7617;460.3240;6.0081
1350000;415.0700;100.4975;451.0360;2.5728
1355000;463.0580;10.5818;433.8620;2.9689
1360000;451.9360;20.4973;424.4060;12.9211
1365000;455.7880;25.5780;409.7820;3.5662
1370000;415.8380;67.0012;395.7460;3.0645
1375000;461.4140;5.7909;381.5220;5.2736
1380000;353.8520;131.8583;377.5480;13.3606
1385000;456.7920;15.6733;361.2000;15.1613
1390000;346.6460;148.3090;344.0020;12.8968
1395000;481.2080;14.1147;334.8200;15.3555
1400000;467.9460;12.9785;316.5080;13.3114
1405000;436.4720;13.4427;300.6200;5.5546
1410000;463.7980;13.4481;287.5460;5.4765
1415000;454.5380;18.1494;280.4360;4.2272
1420000;447.0700;16.2184;265.2360;5.0602
1425000;470.0020;13.0716;252.5060;5.9664
1430000;460.9600;18.1322;238.7240;6.3879
1435000;456.6080;16.9714;226.3580;23.4867
1440000;464.8580;15.2337;215.9920;14.1992
1445000;469.1580;16.6987;202.9880;6.6080
1450000;466.9200;8.7848;186.7820;2.0878
1455000;469.9800;11.8159;176.2960;5.7280
1460000;450.8760;23.3035;175.3460;14.6296
1465000;457.0520;26.6425;168.3500;28.3314
1470000;451.3220;35.7883;171.8560;29.5596
1475000;449.8740;26.1827;145.8880;14.7393
1480000;398.4420;95.0903;180.2980;105.5042
1485000;353.8860;134.7279;241.2220;119.8298
1490000;467.2480;9.2220;126.3940;25.1536
1495000;371.3280;128.4249;175.6960;90.4428
1500000;470.9920;9.6594;300.9020;120.8116
1505000;464.8480;17.7593;485.2700;70.0690
1510000;451.0680;38.5179;495.1480;81.1677
1515000;466.0720;9.0768;514.0460;135.5504
1520000;348.9580;119.5250;810.6580;118.4018
1525000;466.1480;23.9244;2788.6980;268.5504
1530000;468.9960;13.0862;3075.5860;226.2851
1535000;462.0180;15.8996;3043.5200;270.7242
1540000;465.8600;9.2405;3050.2820;273.3328
1545000;464.8480;20.4350;3004.1500;274.0310
1550000;462.2780;12.8067;3002.8300;280.2394
1555000;355.6060;143.9888;3003.2300;294.3557
1560000;462.2480;3.4371;2989.9680;177.1210
1565000;468.9800;11.3361;3004.6740;232.5066
1570000;459.0220;14.1725;3093.0820;131.8801
1575000;424.8480;73.2461;2753.0760;181.1322
1580000;462.2400;14.6507;3014.8920;179.9191
1585000;457.8420;9.2823;3000.8580;221.7452
1590000;463.7720;21.9943;2979.8900;198.8043
1595000;440.8220;32.9487;3049.4260;155.4555
1600000;461.8380;10.7196;2977.1720;146.3966
1605000;471.8000;7.9075;2964.9280;183.8080
1610000;439.0040;23.2994;2953.5800;252.8952
1615000;466.9020;15.9030;2877.0140;276.4997
1620000;451.3400;19.4510;2995.3700;261.9695
1625000;464.5880;10.1184;2760.9720;390.2079
1630000;415.7920;72.7234;3033.8760;243.9667
1635000;370.0580;154.2344;2862.8880;245.9664
1640000;449.8300;22.0518;2986.0380;243.8927
1645000;324.8400;138.8651;2865.7320;231.5718
1650000;461.1860;10.6207;2930.7320;164.3714
1655000;408.3260;114.1146;2799.1601;194.8252
1660000;456.8200;17.1559;2735.7800;268.0148
1665000;455.7460;10.4442;2815.4600;184.8776
1670000;470.8720;8.9486;2879.0840;278.5974
1675000;460.9680;19.5529;2952.5140;296.0128
1680000;458.3120;12.3134;2791.0500;244.8269
1685000;425.1200;66.7028;2683.9060;348.8864
1690000;452.2240;16.7979;2701.1000;423.9653
1695000;457.3180;10.8281;2876.9859;265.7215
1700000;449.3060;46.6127;2674.8280;280.1288
1705000;458.9240;15.7968;2814.3960;259.5299
1710000;329.6180;147.4107;2848.6780;89.5845
1715000;463.8100;17.2651;2794.4761;245.9176
1720000;423.0060;82.3002;2878.1820;253.6324
1725000;448.8260;19.2224;2749.6340;269.7061
1730000;448.8180;18.3119;2777.4880;245.8731
1735000;459.9500;13.7860;2608.5380;324.7206
1740000;464.8440;10.5555;2560.1320;220.4682
1745000;455.0320;17.8767;2627.5800;237.6291
1750000;474.8700;14.3623;2674.7140;158.3569
1755000;296.9060;118.7421;2722.8000;129.0478
1760000;452.8060;25.5933;2515.5681;311.5571
1765000;435.9200;54.4918;2598.9000;188.9272
1770000;468.3260;17.4638;2634.4680;193.9440
1775000;441.7780;21.2578;2701.3900;202.4612
1780000;450.9200;10.6067;2541.1980;313.7189
1785000;443.7560;17.9398;2609.6000;310.0965
1790000;415.0260;46.0306;2520.5400;223.1364
1795000;450.9040;7.8392;2541.5220;112.1219
1800000;320.7720;134.1016;2522.5700;223.9757
1805000;440.8600;21.8065;2603.0880;155.1669
1810000;431.7520;15.6624;2571.5740;205.3688
1815000;466.9040;21.2280;2586.9500;158.0914
1820000;460.3660;10.8349;2406.4340;298.4752
1825000;403.8000;80.2790;2420.7280;206.1590
1830000;464.8380;9.9591;2448.9380;222.6601
1835000;462.6460;7.8727;2309.0480;194.1361
1840000;468.9680;14.1688;2482.4641;221.7692
1845000;330.8840;150.2196;2420.5780;189.9019
1850000;457.2480;16.1399;2494.4060;113.8371
1855000;463.0500;16.4772;2584.5140;206.3151
1860000;410.9220;63.9173;2505.3580;150.5625
1865000;446.5020;27.1879;2446.0340;311.9429
1870000;455.8300;12.7307;2448.0340;233.8639
1875000;456.8260;13.1772;2433.9460;144.3066
1880000;431.4480;54.0955;2437.5640;95.7931
1885000;460.9460;10.1696;2350.1780;266.2518
1890000;462.0280;10.8045;2273.0000;286.3031
1895000;466.9060;16.0512;2360.2100;173.7700
1900000;452.9240;19.6503;2200.9980;298.0052
1905000;450.7160;19.0875;2283.7940;153.8176
1910000;414.9000;70.4685;2376.4260;90.8217
1915000;429.4720;45.2015;2245.3600;126.0200
1920000;466.9060;15.7594;2283.5400;233.8944
1925000;457.8360;7.8709;2327.5740;188.0689
1930000;466.8860;10.3448;2219.8460;180.7006
1935000;464.8320;15.4791;2390.2580;256.7923
1940000;345.7020;136.2182;2336.2980;125.3645
1945000;460.9740;8.5927;2255.4620;135.6486
1950000;462.0160;18.4071;2301.1121;179.8874
1955000;447.1900;42.5905;830.3520;30.4102
1960000;402.0500;160.8328;1436.1440;315.2955
1965000;423.9680;38.7077;1490.2120;234.4699
1970000;466.9140;8.8630;1170.0600;118.0886
1975000;442.2240;42.5866;1205.3080;121.6012
1980000;471.0400;7.9846;1391.8540;345.3712
1985000;462.8320;12.1266;1264.0960;210.5614
1990000;459.3820;19.5949;1339.3580;253.1963
1995000;467.0740;7.6812;1448.4880;228.8352
2000000;409.8920;17.9460;1561.0780;412.7130
