Size (Byte);NOINIT_SEQ_READ ExpectedValue;NOINIT_SEQ_READ Stddev;INIT_SEQ_READ ExpectedValue;INIT_SEQ_READ Stddev
0;0.00;0.00;0.00;0.00
50000;100.00;0.00;6.90;0.70
100000;100.00;0.00;8.10;1.37
150000;100.00;0.00;21.80;4.71
200000;100.00;0.00;29.60;2.91
250000;100.00;0.00;35.40;3.90
300000;100.00;0.00;32.00;3.07
350000;100.00;0.00;31.00;4.05
400000;100.00;0.00;51.70;1.62
450000;100.00;0.00;53.40;2.42
500000;100.00;0.00;46.40;1.50
550000;100.00;0.00;41.30;2.28
600000;100.00;0.00;39.60;2.65
650000;100.00;0.00;43.90;2.47
700000;100.00;0.00;33.00;2.61
750000;100.00;0.00;69.70;14.20
800000;100.00;0.00;91.50;2.84
850000;100.00;0.00;92.90;2.70
900000;100.00;0.00;95.90;2.47
950000;100.00;0.00;98.20;0.98
1000000;100.00;0.00;99.80;0.60
