Size (Byte);NOINIT_RND_WRITE ExpectedValue;NOINIT_RND_WRITE Stddev;INIT_RND_WRITE ExpectedValue;INIT_RND_WRITE Stddev
1;0.0000;0.0000;0.0000;0.0000
1001;0.0100;0.0995;0.0100;0.0995
2001;0.0800;0.2713;0.0400;0.1960
3001;0.0100;0.0995;0.0800;0.2713
4001;0.1200;0.3250;0.1500;0.4330
5001;0.1400;0.4005;0.1300;0.3363
6001;0.1500;0.5545;0.1700;0.5302
7001;0.0700;0.2551;0.2100;0.4538
8001;0.2300;0.6141;0.2000;0.4000
9001;0.2600;0.5936;0.2300;0.5451
10001;0.2000;0.7483;0.1100;0.4877
11001;0.2600;0.6873;0.2400;0.5314
12001;0.2300;0.4440;0.2600;0.5407
13001;0.2800;0.5845;0.3200;0.5980
14001;0.3600;0.7003;0.3800;0.7454
15001;44.5800;21.5407;1.3600;1.0538
16001;52.4900;19.7193;3.2400;1.5370
17001;63.6000;19.1651;4.2100;1.6510
18001;63.6900;17.4251;5.1600;1.4948
19001;99.6500;2.0413;6.5800;2.5345
20001;99.9800;0.1975;9.4800;2.1563
21001;99.9200;0.7963;10.4200;1.9707
22001;100.0000;0.0000;9.8400;1.0929
23001;100.0000;0.0000;22.8200;6.4037
24001;100.0000;0.0000;22.9900;6.1522
25001;100.0000;0.0000;26.4700;7.0632
26001;100.0000;0.0000;28.4300;9.4924
27001;100.0000;0.0000;83.9200;5.8715
28001;100.0000;0.0000;88.6900;4.9370
29001;100.0000;0.0000;92.0700;4.1576
30001;100.0000;0.0000;94.5200;3.3303
31001;100.0000;0.0000;100.0000;0.0000
32001;100.0000;0.0000;100.0000;0.0000
33001;100.0000;0.0000;100.0000;0.0000
34001;100.0000;0.0000;100.0000;0.0000
35001;100.0000;0.0000;100.0000;0.0000
36001;100.0000;0.0000;100.0000;0.0000
37001;100.0000;0.0000;100.0000;0.0000
38001;100.0000;0.0000;100.0000;0.0000
39001;100.0000;0.0000;100.0000;0.0000
