procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 304312 468684 167024 13010992    1    2    28    35    0    1  1  0 98  0
 0  0 304312 180964 170648 12989988    0    0  1305  1130  488  656  1  1 98  0
 0  0 304312 160304 178232 12502312    0    0  3608  3650  992 1255  2  1 96  1
 0  0 304312 153636 188068 11977676    0    0  5683  5843 1417 1725  3  2 94  1
 0  0 304500 153496 196320 11419000    0    3  6006  6573 1500 1845  3  2 93  1
 0  0 304772 172476 202952 10901224    3    7  6438  5378 1524 1945  4  2 93  1
 0  0 304700 161476 208424 10419372    3    2  9872  2781 1500 2062  4  2 93  1
 0  0 304524 170492 213784 9940708    3    0  9583  3313 1578 2364  5  2 92  1
 1  0 304448 184480 217100 9499888    1    0  7555  2745 1606 2300  5  2 93  1
 0  0 304424 161292 204500 9202716    0    0  6420  1452 1604 2462  5  2 92  1
 0  0 304364 164500  45776 9055368    1    0  5874  3141 1788 2757  6  2 91  1
 0  0 304308 182024  39372 8776980    1    0  4659  5230 1984 3007  6  2 91  1
 0  0 304280 160800  43644 8275348    0    0  4925  7113 2673 3412  7  6 86  1
 0  0 304276 180628  50688 8324752    0    0  4337  9134 2823 3530  8  2 89  1
