procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 7109688 153800   8824  89348    1    2    22    18    1    0  1  0 98  0
 0  0 7109644 168196   8288  74724    3    0     3     7  130  214  0  0 99  0
 0  0 7109596 167776   8384  74744    2    0     2     6  141  230  0  0 99  0
 0  0 7109556 165408   8488  74772    3    0     3     5  144  235  0  0 99  0
 0  0 7109528 163648   8584  74796    1    0     1     6  114  186  0  0 100  0
 0  0 7109488 161704   8680  74812    1    0     1     5  124  203  0  0 99  0
 0  0 7109444 160864   8776  74840    3    0     3     6  142  232  0  0 99  0
 1  0 7109384 157644   8872  74868    3    0     3     5  152  250  0  0 99  0
 0  0 7109368 156092   8968  74896    1    0     1     6  128  213  0  0 99  0
 0  0 7109320 165744   9056  74912    2    0     2     5  124  206  0  0 99  0
