procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 173560 6659856 101420 6909600    1    2    24    19    1    0  1  0 98  0
 0  0 173560 6617392 102540 6909796    0    0     2    81  167  299  0  0 99  0
 0  0 173560 6593392 103940 6910008    0    0     1   219  287  542  0  0 99  0
 0  0 172244 6585232 105092 6910240   12    0    13   204  419  798  1  1 99  0
 0  0 172232 6574340 106564 6914596    0    0     1   446  514  979  1  1 98  0
 0  0 172224 6569116 108012 6915564    0    0    13   258  581 1112  1  1 98  0
 0  0 172220 6565980 109460 6915880    0    0     1   417  643 1231  1  1 98  0
 0  0 170424 6564228 110532 6916464   19    0    22   510  653 1249  1  1 98  0
 0  0 170248 6561400 112320 6917224    5    0     8   640  651 1243  1  1 98  0
 0  0 170236 6558932 114116 6917552    1    0     2   343  597 1144  1  1 98  0
 0  0 170232 6557616 115984 6918352    0    0     3   677  643 1230  1  1 98  0
