procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0 305944 483968   4668 13104668    1    2    27    33    0    1  1  0 98  0
 0  0 305936 276300  10292 13178768    1    0  1155   825  248  442  1  0 99  0
 0  0 305924 190592  16172 13224712    1    0   423  1413  306  558  1  0 99  0
 0  0 305924 161152  22212 13233652    0    0   219  1432  287  519  1  0 99  0
 0  0 305924 153740  27604 13222296    0    0   217  1254  285  514  1  0 99  0
 0  0 305924 158368  32508 13203056    0    0    81   921  254  458  0  0 99  0
 0  0 305920 163040  38348 13183392    0    0    63  1286  287  524  1  0 99  0
 0  0 305920 167016  45412 13162864    0    0    40  1535  334  601  1  0 99  0
 0  0 305920 180776  52252 13136536    0    0    22  1197  311  568  1  0 99  0
 0  0 305920 164724  57956 13142160    0    0    11   970  275  505  0  0 99  0
 0  0 305920 181068  63636 13115408    0    0     8   982  279  509  0  0 99  0
