Sizes;NOINIT_SEQ_WRITE;INIT_SEQ_WRITE;NOINIT_SEQ_READ;INIT_SEQ_READ;NOINIT_RND_WRITE;INIT_RND_WRITE;NOINIT_RND_READ;INIT_RND_READ
1000;1.00;0.00;1.00;0.00;3.00;4.00;0.00;0.00
2000;5.00;0.00;0.00;0.00;5.00;7.00;1.00;0.00
3000;0.00;0.00;0.00;0.00;3.00;3.00;1.00;2.00
4000;1.00;0.00;0.00;1.00;3.00;2.00;1.00;2.00
5000;24.00;1.00;0.00;1.00;69.00;100.00;2.00;2.00
6000;100.00;100.00;4.00;0.00;100.00;4.00;4.00;4.00
7000;100.00;100.00;0.00;0.00;100.00;100.00;3.00;8.00
8000;100.00;100.00;1.00;0.00;100.00;100.00;3.00;4.00
9000;100.00;100.00;1.00;1.00;100.00;100.00;3.00;4.00
10000;100.00;100.00;1.00;0.00;100.00;100.00;3.00;5.00
12500;100.00;100.00;1.00;1.00;100.00;100.00;4.00;6.00
15000;100.00;100.00;1.00;2.00;100.00;100.00;6.00;6.00
17500;100.00;100.00;1.00;2.00;100.00;100.00;7.00;2.00
20000;100.00;100.00;2.00;1.00;100.00;100.00;9.00;8.00
22500;100.00;100.00;2.00;2.00;100.00;100.00;9.00;5.00
25000;100.00;100.00;2.00;1.00;100.00;100.00;10.00;7.00
27500;100.00;100.00;2.00;4.00;100.00;100.00;10.00;11.00
30000;100.00;100.00;2.00;2.00;100.00;100.00;11.00;13.00
32500;100.00;100.00;2.00;4.00;100.00;100.00;13.00;2.00
35000;100.00;100.00;2.00;5.00;100.00;100.00;13.00;15.00
37500;100.00;100.00;20.00;5.00;100.00;100.00;13.00;6.00
40000;100.00;100.00;3.00;2.00;100.00;100.00;14.00;87.00
42500;100.00;100.00;5.00;2.00;100.00;100.00;15.00;46.00
45000;100.00;100.00;3.00;3.00;100.00;100.00;21.00;38.00
47500;100.00;100.00;3.00;3.00;100.00;100.00;17.00;41.00
50000;100.00;100.00;4.00;5.00;100.00;100.00;25.00;83.00
52500;100.00;100.00;4.00;5.00;100.00;100.00;18.00;35.00
55000;100.00;100.00;6.00;4.00;100.00;100.00;20.00;55.00
57500;100.00;100.00;6.00;7.00;100.00;100.00;100.00;59.00
60000;100.00;100.00;100.00;8.00;100.00;100.00;26.00;50.00
62500;100.00;100.00;100.00;13.00;100.00;100.00;27.00;74.00
65000;100.00;100.00;100.00;7.00;100.00;100.00;22.00;84.00
67500;100.00;100.00;99.00;9.00;100.00;100.00;26.00;67.00
70000;100.00;100.00;100.00;7.00;100.00;100.00;31.00;83.00
72500;100.00;100.00;100.00;3.00;100.00;100.00;27.00;90.00
75000;100.00;100.00;100.00;10.00;100.00;100.00;94.00;57.00
77500;100.00;100.00;100.00;6.00;100.00;100.00;26.00;85.00
80000;100.00;100.00;100.00;4.00;100.00;100.00;27.00;65.00
82500;100.00;100.00;100.00;11.00;100.00;100.00;29.00;74.00
85000;100.00;100.00;100.00;11.00;100.00;100.00;31.00;71.00
87500;100.00;100.00;100.00;5.00;100.00;100.00;30.00;74.00
90000;100.00;100.00;100.00;19.00;100.00;100.00;45.00;57.00
92500;100.00;100.00;100.00;10.00;100.00;100.00;45.00;82.00
95000;100.00;100.00;100.00;10.00;100.00;100.00;36.00;48.00
97500;100.00;100.00;100.00;13.00;100.00;100.00;36.00;67.00
100000;100.00;100.00;100.00;7.00;100.00;100.00;38.00;77.00
102500;100.00;100.00;100.00;9.00;100.00;100.00;36.00;47.00
105000;100.00;100.00;100.00;11.00;100.00;100.00;37.00;40.00
107500;100.00;100.00;100.00;12.00;100.00;100.00;47.00;62.00
110000;100.00;100.00;100.00;13.00;100.00;100.00;39.00;56.00
112500;100.00;100.00;100.00;12.00;100.00;100.00;38.00;41.00
115000;100.00;100.00;100.00;11.00;100.00;100.00;36.00;51.00
117500;100.00;100.00;100.00;5.00;100.00;100.00;38.00;63.00
120000;100.00;100.00;100.00;8.00;100.00;100.00;70.00;86.00
122500;100.00;100.00;100.00;11.00;100.00;100.00;38.00;66.00
125000;100.00;100.00;100.00;17.00;100.00;100.00;36.00;76.00
127500;100.00;100.00;100.00;15.00;100.00;100.00;36.00;70.00
130000;100.00;100.00;100.00;17.00;100.00;100.00;56.00;66.00
