Sizes;NOINIT_SEQ_WRITE;INIT_SEQ_WRITE;NOINIT_SEQ_READ;INIT_SEQ_READ;NOINIT_RND_WRITE;INIT_RND_WRITE;NOINIT_RND_READ;INIT_RND_READ
1000;0.01;0.01;0.01;0.00;0.03;0.02;0.02;0.01
2000;0.01;0.01;0.01;0.00;0.03;0.02;0.03;0.02
3000;0.01;0.00;0.01;0.01;0.04;0.05;0.04;0.04
4000;0.02;0.01;0.01;0.01;0.03;0.07;0.06;0.06
5000;0.01;0.01;0.02;0.02;0.03;0.05;0.07;0.07
6000;0.01;0.00;0.01;0.01;0.01;0.08;0.09;0.09
7000;0.02;0.02;0.02;0.00;0.02;0.09;0.11;0.09
8000;0.01;0.01;0.02;0.02;0.00;0.01;0.12;0.10
9000;0.01;0.01;0.02;0.03;0.01;0.00;0.13;0.15
10000;0.01;0.00;0.03;0.02;0.01;0.00;0.15;0.13
12500;0.02;0.00;0.03;0.03;0.01;0.00;0.18;0.15
15000;0.01;0.00;0.04;0.05;0.00;0.00;0.22;0.27
17500;0.01;0.02;0.05;0.05;0.00;0.00;0.26;0.17
20000;0.01;0.01;0.06;0.04;0.01;0.01;0.30;0.37
22500;0.01;0.01;0.06;0.07;0.01;0.00;0.34;0.29
25000;0.02;0.00;0.07;0.09;0.00;0.00;0.37;0.41
27500;0.01;0.01;0.07;0.10;0.01;0.00;0.39;0.38
30000;0.01;0.00;0.08;0.13;0.00;0.01;0.43;0.57
32500;0.01;0.01;0.09;0.09;0.00;0.01;0.49;0.42
35000;0.01;0.01;0.09;0.08;0.01;0.01;0.56;0.64
37500;0.01;0.00;0.10;0.11;0.00;0.00;0.21;0.34
40000;0.01;0.01;0.12;0.10;0.01;0.01;0.64;0.73
42500;0.01;0.00;0.12;0.11;0.01;0.03;0.58;0.60
45000;0.01;0.00;0.13;0.16;0.01;0.00;0.67;0.69
47500;0.01;0.00;0.13;0.10;0.00;0.01;0.79;0.78
50000;0.02;0.01;0.14;0.14;0.01;0.01;0.80;0.94
52500;0.02;0.00;0.15;0.15;0.00;0.01;0.81;0.71
55000;0.01;0.04;0.15;0.19;0.00;0.00;0.38;0.41
57500;0.02;0.02;0.15;0.13;0.01;0.00;0.99;0.37
60000;0.02;0.00;0.17;0.23;0.00;0.00;0.99;0.96
62500;0.01;0.02;0.17;0.20;0.00;0.02;0.95;1.23
65000;0.01;0.01;0.18;0.21;0.01;0.00;1.01;1.09
67500;0.01;0.00;0.19;0.18;0.01;0.02;0.99;0.98
70000;0.01;0.02;0.19;0.22;0.01;0.00;1.30;1.18
72500;0.01;0.01;0.20;0.20;0.00;0.01;1.31;1.08
75000;0.01;0.00;0.21;0.11;0.00;0.00;1.29;1.01
77500;0.01;0.01;0.21;0.20;0.00;0.00;1.07;1.17
