Size (Byte);NOINIT_SEQ_READ ExpectedValue;NOINIT_SEQ_READ Stddev;INIT_SEQ_READ ExpectedValue;INIT_SEQ_READ Stddev
1;0.1663;0.0625;0.0547;0.0184
5001;13.9931;0.0788;14.0180;0.0295
10001;27.8333;0.1181;27.8502;0.1526
15001;41.2438;1.3097;41.8221;0.2718
20001;54.9161;1.2588;55.2050;0.3739
25001;67.9764;2.4675;68.8720;0.9050
30001;81.9861;2.2648;81.3418;1.9170
35001;95.9640;2.3926;96.9199;1.1274
40001;109.0360;3.4667;110.1844;1.5998
45001;121.7450;5.1613;123.1969;2.4211
50001;133.8719;6.6660;134.9956;1.9880
55001;148.9705;6.9815;150.2471;2.8518
60001;160.4361;9.9317;161.7663;3.7307
65001;174.7486;10.2454;175.7674;3.4676
70001;183.9188;12.8929;181.2112;4.2284
75001;193.3814;11.6658;201.4714;4.2586
80001;212.4057;15.1710;215.7928;5.0853
85001;217.9669;21.8955;219.7934;4.2518
90001;236.4831;18.4822;240.6412;6.3148
95001;236.5323;21.0736;248.4019;5.0899
100001;252.3110;18.5445;265.8385;7.7002
105001;267.0231;25.3101;287.6717;8.8843
110001;284.6513;21.2459;279.9371;6.7795
115001;289.0334;24.6757;307.5723;8.2065
120001;310.3087;29.5972;319.9786;8.0666
125001;304.0407;32.7359;334.7707;8.5836
130001;327.5648;29.3008;322.0665;6.9036
135001;325.3502;39.1068;362.6975;9.7174
140001;338.0860;34.3534;357.8254;8.5383
145001;363.5651;44.7155;388.0028;9.9476
150001;370.0471;38.6916;399.3033;12.1675
155001;366.3808;42.5195;388.9063;8.9216
160001;395.9913;54.4056;378.5564;11.1053
165001;402.1261;43.4654;441.1248;13.8329
170001;406.7521;43.8889;435.2053;10.1559
175001;409.4259;49.0851;453.7516;11.9814
180001;430.1573;60.9353;470.2159;11.9041
185001;447.0262;58.0159;503.8262;13.7575
190001;450.3146;60.7508;495.8022;11.0160
195001;452.0489;55.2605;482.8017;12.2283
200001;456.1210;47.3699;468.8583;11.3995
205001;487.4468;59.2887;458.1931;8.4986
210001;480.3409;66.7280;457.5457;12.9180
215001;484.7816;59.2694;537.7420;16.6819
220001;486.5890;55.9297;539.6655;15.9096
225001;477.4007;74.0504;535.8434;13.5538
230001;504.9521;67.3335;566.2730;17.0439
235001;499.6498;78.9478;584.0470;17.0831
240001;502.3977;68.5799;604.9135;19.5456
245001;502.4024;68.0409;632.6590;17.4566
250001;496.4758;59.2533;650.5099;20.8592
255001;506.7315;67.7330;645.9905;22.9718
260001;496.0441;68.1332;640.9678;15.5429
265001;499.0365;63.3016;630.1112;14.1486
270001;502.0940;67.2047;616.7401;12.9978
275001;493.3915;73.9001;603.7823;11.7578
280001;496.1422;76.1831;592.5275;10.7622
285001;499.0403;76.5513;579.5299;10.1449
