Sizes;NOINIT_SEQ_READ;INIT_SEQ_READ
0;0.00;0.00
2000;0.01;0.01
4000;0.01;0.01
6000;0.02;0.01
8000;0.02;0.02
10000;0.02;0.03
12000;0.03;0.05
14000;0.04;0.07
16000;0.05;0.05
18000;0.05;0.03
20000;0.05;0.05
22000;0.06;0.06
24000;0.07;0.07
26000;0.07;0.04
28000;0.08;0.07
30000;0.08;0.12
32000;0.09;0.06
34000;0.09;0.11
36000;0.10;0.16
38000;0.10;0.08
40000;0.09;0.11
42000;0.12;0.14
44000;0.12;0.16
46000;0.13;0.13
48000;0.13;0.12
50000;0.14;0.13
52000;0.14;0.15
54000;0.15;0.09
56000;0.10;0.16
58000;0.16;0.15
60000;0.16;0.19
62000;0.16;0.20
64000;0.16;0.18
66000;0.15;0.18
68000;0.15;0.17
70000;0.15;0.18
72000;0.15;0.19
74000;0.15;0.17
76000;0.15;0.14
78000;0.15;0.13
80000;0.15;0.15
82000;0.15;0.13
84000;0.15;0.14
86000;0.14;0.14
88000;0.15;0.14
90000;0.15;0.15
92000;0.12;0.19
94000;0.14;0.10
96000;0.11;0.10
98000;0.09;0.09
100000;0.11;0.06
102000;0.11;0.10
104000;0.09;0.09
106000;0.11;0.12
108000;0.11;0.10
110000;0.09;0.12
112000;0.11;0.09
114000;0.11;0.09
116000;0.09;0.06
118000;0.11;0.10
120000;0.11;0.10
122000;0.11;0.10
124000;0.11;0.11
