Size (Byte);NOINIT_SEQ_READ ExpectedValue;NOINIT_SEQ_READ Stddev;INIT_SEQ_READ ExpectedValue;INIT_SEQ_READ Stddev
0;0.22;0.02;0.21;0.02
50000;11.45;7.58;135.23;0.98
100000;127.96;34.05;269.71;1.99
150000;270.28;14.12;396.23;19.91
200000;382.44;8.71;470.48;5.55
250000;375.34;109.03;647.04;22.72
300000;418.06;11.36;687.38;16.81
350000;422.77;14.99;793.61;26.87
400000;352.45;110.21;917.56;23.68
450000;415.15;13.00;808.76;13.70
500000;383.75;82.56;977.53;24.22
550000;411.83;12.27;1091.42;29.94
600000;415.25;13.59;1235.03;28.71
650000;374.76;92.32;1390.24;28.75
700000;421.38;13.61;1578.11;44.21
750000;419.98;8.74;1853.44;96.35
800000;422.02;10.86;1767.84;108.82
850000;403.91;31.72;1722.89;57.50
900000;420.76;8.82;1536.61;66.17
950000;425.97;9.88;1453.36;66.33
1000000;357.12;84.74;1341.36;28.87
