Sizes;NOINIT_SEQ_READ;INIT_SEQ_READ
0;0.00;0.00
1000;0.01;0.00
2000;0.01;0.00
3000;0.01;0.01
4000;0.02;0.00
5000;0.01;0.01
6000;0.02;0.01
7000;0.02;0.00
8000;0.02;0.02
9000;0.02;0.02
10000;0.03;0.03
11000;0.03;0.03
12000;0.03;0.03
13000;0.03;0.07
14000;0.04;0.00
15000;0.05;0.03
16000;0.04;0.05
17000;0.05;0.06
18000;0.05;0.03
19000;0.05;0.06
20000;0.06;0.02
21000;0.06;0.08
22000;0.06;0.04
23000;0.07;0.09
24000;0.07;0.08
25000;0.07;0.08
26000;0.07;0.00
27000;0.08;0.08
28000;0.08;0.08
29000;0.08;0.10
30000;0.08;0.14
31000;0.08;0.04
32000;0.09;0.06
33000;0.09;0.10
34000;0.09;0.10
35000;0.09;0.12
36000;0.10;0.09
37000;0.10;0.00
38000;0.10;0.08
39000;0.10;0.11
40000;0.11;0.10
41000;0.10;0.13
42000;0.11;0.12
43000;0.12;0.12
44000;0.12;0.16
45000;0.13;0.18
46000;0.13;0.13
47000;0.13;0.04
48000;0.13;0.13
49000;0.14;0.12
50000;0.14;0.12
51000;0.14;0.12
52000;0.15;0.15
53000;0.14;0.13
54000;0.15;0.06
55000;0.14;0.18
56000;0.16;0.15
57000;0.16;0.09
58000;0.16;0.17
59000;0.17;0.13
60000;0.16;0.15
61000;0.17;0.22
62000;0.16;0.28
63000;0.17;0.13
64000;0.17;0.21
65000;0.18;0.17
66000;0.18;0.18
67000;0.17;0.16
68000;0.19;0.10
69000;0.19;0.12
70000;0.19;0.24
71000;0.18;0.16
72000;0.19;0.18
73000;0.19;0.19
74000;0.20;0.20
75000;0.21;0.13
76000;0.21;0.20
77000;0.20;0.24
78000;0.21;0.13
79000;0.22;0.18
80000;0.22;0.19
81000;0.20;0.22
82000;0.11;0.19
83000;0.22;0.20
84000;0.23;0.17
85000;0.22;0.17
86000;0.23;0.21
87000;0.22;0.20
88000;0.22;0.15
89000;0.23;0.15
90000;0.22;0.28
91000;0.24;0.26
92000;0.22;0.33
93000;0.24;0.47
94000;0.23;0.46
95000;0.23;0.39
96000;0.23;0.33
97000;0.22;0.33
98000;0.23;0.30
99000;0.23;0.33
100000;0.23;0.27
101000;0.23;0.25
102000;0.24;0.27
103000;0.21;0.20
104000;0.23;0.30
105000;0.22;0.30
106000;0.24;0.39
107000;0.22;0.35
108000;0.21;0.42
109000;0.23;0.41
110000;0.22;0.18
111000;0.23;0.19
112000;0.24;0.19
113000;0.22;0.29
114000;0.23;0.27
115000;0.23;0.30
116000;0.22;0.32
117000;0.24;0.31
118000;0.23;0.27
119000;0.21;0.34
120000;0.23;0.31
121000;0.23;0.27
122000;0.20;0.32
123000;0.22;0.32
124000;0.23;0.33
125000;0.23;0.34
126000;0.24;0.32
127000;0.22;0.32
128000;0.23;0.33
129000;0.23;0.31
130000;0.23;0.21
131000;0.22;0.19
132000;0.22;0.33
133000;0.23;0.35
134000;0.23;0.38
135000;0.23;0.45
136000;0.23;0.44
137000;0.24;0.42
138000;0.23;0.23
139000;0.23;0.31
140000;0.23;0.35
141000;0.22;0.33
142000;0.23;0.31
143000;0.23;0.39
144000;0.22;0.39
145000;0.24;0.39
146000;0.23;0.37
147000;0.23;0.39
148000;0.23;0.28
149000;0.22;0.40
150000;0.23;0.39
151000;0.21;0.38
152000;0.22;0.28
153000;0.23;0.18
154000;0.22;0.23
155000;0.23;0.21
156000;0.22;0.24
157000;0.22;0.19
158000;0.23;0.20
159000;0.22;0.02
160000;0.22;0.05
161000;0.22;0.12
162000;0.24;0.14
163000;0.24;0.36
164000;0.23;0.32
165000;0.23;0.41
166000;0.22;0.36
167000;0.22;0.34
168000;0.03;0.28
169000;0.22;0.22
170000;0.22;0.18
171000;0.23;0.22
172000;0.23;0.26
173000;0.22;0.29
174000;0.23;0.28
175000;0.21;0.23
176000;0.22;0.22
177000;0.23;0.19
178000;0.24;0.28
179000;0.22;0.16
180000;0.24;0.32
181000;0.23;0.61
182000;0.22;0.58
183000;0.23;0.26
184000;0.22;0.89
185000;0.23;1.00
186000;0.23;0.98
187000;0.22;0.70
188000;0.23;0.75
189000;0.22;0.76
190000;0.23;0.91
191000;0.22;0.92
192000;0.23;0.93
193000;0.22;0.78
194000;0.23;0.92
195000;0.22;0.96
196000;0.22;0.92
197000;0.23;0.89
198000;0.22;0.98
199000;0.23;0.97
200000;0.22;0.99
