Size (Byte);NOINIT_SEQ_READ ExpectedValue;NOINIT_SEQ_READ Stddev;INIT_SEQ_READ ExpectedValue;INIT_SEQ_READ Stddev
0;0.00;0.00;0.00;0.00
10000;100.00;0.00;1.19;1.03
20000;100.00;0.00;3.10;0.91
30000;100.00;0.00;4.69;2.97
40000;100.00;0.00;4.26;4.13
50000;100.00;0.00;7.85;3.99
60000;100.00;0.00;7.05;5.28
70000;100.00;0.00;10.40;3.47
80000;100.00;0.00;7.05;4.06
90000;100.00;0.00;8.33;3.84
100000;100.00;0.00;11.55;3.61
110000;100.00;0.00;20.79;4.05
120000;100.00;0.00;10.98;5.14
130000;100.00;0.00;20.71;3.59
140000;100.00;0.00;16.41;5.02
150000;100.00;0.00;21.21;3.88
160000;100.00;0.00;24.24;2.80
170000;100.00;0.00;18.04;3.74
180000;100.00;0.00;11.37;3.91
190000;100.00;0.00;24.51;4.13
200000;100.00;0.00;29.06;3.14
210000;100.00;0.00;28.44;2.80
220000;100.00;0.00;20.80;3.32
230000;100.00;0.00;16.97;3.47
240000;99.96;0.40;11.97;4.98
250000;100.00;0.00;24.44;5.80
260000;100.00;0.00;33.29;2.62
270000;100.00;0.00;36.45;2.37
280000;100.00;0.00;37.03;2.33
290000;100.00;0.00;37.20;2.75
300000;100.00;0.00;25.71;3.16
310000;100.00;0.00;27.11;3.90
320000;100.00;0.00;27.79;3.76
330000;99.99;0.10;24.66;3.26
340000;100.00;0.00;24.94;4.32
350000;100.00;0.00;21.77;4.58
360000;100.00;0.00;17.05;4.98
370000;100.00;0.00;31.13;11.54
380000;100.00;0.00;39.23;9.62
390000;100.00;0.00;46.14;5.01
400000;100.00;0.00;48.48;3.79
410000;100.00;0.00;51.81;3.13
420000;100.00;0.00;53.24;3.01
430000;100.00;0.00;54.42;2.32
440000;100.00;0.00;55.13;2.14
450000;100.00;0.00;53.88;1.88
460000;100.00;0.00;54.03;1.82
470000;100.00;0.00;54.38;2.26
480000;100.00;0.00;54.25;1.85
490000;100.00;0.00;53.78;2.13
500000;100.00;0.00;44.78;3.18
