Sizes;Time in ms
1000;0.10
2000;0.00
3000;0.00
4000;0.00
5000;0.00
6000;0.00
7000;0.00
8000;0.00
9000;0.00
10000;0.00
15000;0.00
20000;0.00
25000;0.00
30000;0.00
35000;0.00
40000;0.00
45000;0.00
50000;0.00
55000;0.00
60000;0.00
65000;0.00
70000;0.00
75000;0.00
80000;0.00
85000;0.00
90000;0.00
95000;0.00
100000;0.00
105000;0.00
110000;0.00
115000;0.00
120000;0.00
125000;0.00
130000;0.00
135000;0.00
140000;0.00
145000;0.00
150000;0.00
155000;0.00
160000;0.00
165000;0.00
170000;0.00
175000;0.00
180000;0.00
185000;0.00
190000;0.00
195000;0.00
200000;0.00
205000;0.00
210000;0.00
215000;0.00
220000;0.00
225000;0.00
230000;0.00
235000;0.00
240000;0.00
245000;0.00
250000;0.00
255000;0.00
260000;0.00
265000;0.00
270000;0.00
275000;0.00
280000;0.00
285000;0.00
290000;0.00
295000;0.00
300000;0.00
305000;0.00
310000;0.00
315000;0.00
320000;0.00
325000;0.00
330000;0.00
335000;0.00
340000;0.00
345000;0.00
350000;0.00
355000;0.00
360000;0.00
365000;0.00
370000;0.00
375000;0.00
380000;0.00
385000;0.00
390000;0.00
395000;0.00
400000;0.00
405000;0.00
410000;0.00
415000;0.00
420000;0.00
425000;0.00
430000;0.00
435000;0.00
440000;0.00
445000;0.00
450000;0.00
455000;0.00
460000;0.00
465000;0.00
470000;0.00
475000;0.00
480000;0.00
485000;0.00
490000;0.00
495000;0.00
500000;0.00
505000;0.00
510000;0.00
515000;0.00
520000;0.00
525000;0.00
530000;0.00
535000;0.00
540000;0.00
545000;0.00
550000;0.00
555000;0.00
560000;0.00
565000;0.00
570000;0.00
575000;0.00
580000;0.00
585000;0.00
590000;0.00
595000;0.00
600000;0.00
605000;0.00
610000;0.00
615000;0.00
620000;0.00
625000;0.00
630000;0.00
635000;0.00
640000;0.00
645000;0.00
650000;0.00
655000;0.00
660000;0.00
665000;0.00
670000;0.00
675000;0.00
680000;0.00
685000;0.00
690000;0.00
695000;0.00
700000;0.00
705000;0.00
710000;0.00
715000;0.00
720000;0.00
725000;0.00
730000;0.00
735000;0.00
740000;0.00
745000;0.00
750000;0.00
755000;0.00
760000;0.00
765000;0.00
770000;0.00
775000;0.00
780000;0.00
785000;0.00
790000;0.00
795000;0.00
800000;0.00
805000;0.00
810000;0.00
815000;0.00
