Sizes;NOINIT_WRITE;INIT_WRITE;NOINIT_READ;INIT_READ
2000;100.00;0.30;1.20;0.10
3000;0.20;0.20;0.10;0.40
4000;0.80;0.40;0.20;0.20
5000;0.90;1.30;0.20;0.30
6000;49.80;6.30;0.30;0.30
7000;100.00;100.00;0.40;0.30
8000;100.00;100.00;0.40;0.40
9000;100.00;100.00;0.40;0.50
10000;100.00;100.00;0.50;0.50
11000;100.00;100.00;1.00;0.80
12000;100.00;100.00;0.60;0.70
13000;100.00;100.00;0.70;0.70
14000;100.00;100.00;0.80;0.70
15000;100.00;100.00;1.00;0.80
16000;100.00;100.00;0.80;1.00
17000;100.00;100.00;0.90;1.40
18000;100.00;100.00;1.00;1.00
19000;100.00;100.00;1.00;1.00
20000;100.00;100.00;1.10;1.00
21000;100.00;100.00;1.10;1.10
22000;100.00;100.00;1.60;1.20
23000;100.00;100.00;1.20;1.70
24000;100.00;100.00;1.30;2.40
25000;100.00;100.00;2.10;1.50
26000;100.00;100.00;1.30;1.70
27000;100.00;100.00;1.40;1.50
28000;100.00;100.00;1.40;1.50
29000;100.00;100.00;1.60;2.40
30000;100.00;100.00;1.80;1.60
31000;100.00;100.00;1.60;1.80
32000;100.00;100.00;1.90;1.80
33000;100.00;100.00;2.30;1.70
34000;100.00;100.00;1.80;2.00
35000;100.00;100.00;1.90;2.10
36000;100.00;100.00;2.40;2.10
37000;100.00;100.00;2.50;2.10
38000;100.00;100.00;2.40;3.00
39000;100.00;100.00;2.30;2.00
40000;100.00;100.00;2.20;2.10
41000;100.00;100.00;2.40;3.20
42000;100.00;100.00;2.20;2.40
43000;100.00;100.00;2.60;2.50
44000;100.00;100.00;2.80;2.70
45000;100.00;100.00;2.60;2.60
46000;100.00;100.00;3.40;4.70
47000;100.00;100.00;3.60;3.10
48000;100.00;100.00;3.00;3.40
49000;100.00;100.00;2.60;3.40
50000;100.00;100.00;2.90;3.40
51000;100.00;100.00;2.90;3.10
52000;100.00;100.00;2.90;3.00
53000;100.00;100.00;3.40;7.00
54000;100.00;100.00;3.10;3.00
55000;100.00;100.00;3.60;3.60
56000;100.00;100.00;3.00;3.30
57000;100.00;100.00;4.00;3.10
58000;100.00;100.00;3.30;3.60
59000;100.00;100.00;3.40;3.20
60000;100.00;100.00;3.40;3.70
61000;100.00;100.00;3.40;3.30
62000;100.00;100.00;3.70;4.00
63000;100.00;100.00;3.40;5.10
64000;100.00;100.00;3.90;4.40
65000;100.00;100.00;3.40;4.50
66000;100.00;100.00;3.80;4.00
67000;100.00;100.00;3.80;6.80
68000;100.00;100.00;3.80;3.60
69000;100.00;100.00;4.20;3.90
70000;100.00;100.00;3.70;4.10
71000;100.00;100.00;4.90;3.90
72000;100.00;100.00;4.60;3.90
73000;100.00;100.00;4.00;4.30
74000;100.00;100.00;3.90;3.90
75000;100.00;100.00;3.90;4.80
76000;100.00;100.00;5.30;4.60
77000;100.00;100.00;4.80;4.10
78000;100.00;100.00;5.00;4.60
79000;100.00;100.00;4.40;4.70
80000;100.00;100.00;4.30;4.20
81000;100.00;100.00;5.00;4.80
82000;100.00;100.00;4.50;4.70
83000;100.00;100.00;5.60;5.10
84000;100.00;100.00;4.60;4.90
85000;100.00;100.00;5.20;7.90
86000;100.00;100.00;4.50;4.90
87000;100.00;100.00;6.10;5.00
88000;100.00;100.00;4.80;5.70
89000;100.00;100.00;5.50;5.10
90000;100.00;100.00;5.40;4.90
91000;100.00;100.00;5.10;5.20
92000;100.00;100.00;5.80;5.10
93000;100.00;100.00;5.20;5.60
94000;100.00;100.00;6.00;5.30
95000;100.00;100.00;5.40;5.00
96000;100.00;100.00;5.00;15.60
97000;100.00;100.00;15.40;8.20
98000;100.00;100.00;7.00;13.20
99000;100.00;100.00;7.00;6.80
100000;100.00;100.00;7.50;6.70
101000;100.00;100.00;7.10;8.00
102000;100.00;100.00;7.10;6.70
103000;100.00;100.00;8.10;7.00
104000;100.00;100.00;8.60;6.40
105000;100.00;100.00;5.70;6.30
106000;100.00;100.00;6.80;5.80
107000;100.00;100.00;5.80;7.20
108000;100.00;100.00;6.10;6.20
109000;100.00;100.00;9.10;5.60
110000;100.00;100.00;6.60;6.00
111000;100.00;100.00;6.10;5.80
112000;100.00;100.00;7.70;6.30
113000;100.00;100.00;6.40;5.80
114000;100.00;100.00;7.30;7.50
115000;100.00;100.00;6.80;6.00
116000;100.00;100.00;7.90;6.50
117000;100.00;100.00;6.60;6.10
118000;100.00;100.00;6.90;6.50
119000;100.00;100.00;6.50;6.70
120000;100.00;100.00;7.20;6.60
121000;100.00;100.00;8.90;6.70
122000;100.00;100.00;7.00;8.00
123000;100.00;100.00;6.60;7.10
124000;100.00;100.00;7.90;7.50
125000;100.00;100.00;6.50;7.70
126000;100.00;100.00;6.90;7.30
127000;100.00;100.00;7.80;8.60
128000;100.00;100.00;7.30;9.90
129000;100.00;100.00;7.20;7.80
130000;100.00;100.00;7.60;7.90
131000;100.00;100.00;8.40;8.20
132000;100.00;100.00;7.50;7.10
133000;100.00;100.00;7.40;7.00
134000;100.00;100.00;8.00;8.30
135000;100.00;100.00;8.00;7.50
136000;100.00;100.00;7.50;8.60
137000;100.00;100.00;7.40;7.80
138000;100.00;100.00;8.70;8.70
139000;100.00;100.00;99.60;99.50
140000;100.00;100.00;100.00;99.10
141000;100.00;100.00;100.00;99.10
142000;100.00;100.00;100.00;99.60
143000;100.00;100.00;100.00;99.20
144000;100.00;100.00;100.00;99.30
145000;100.00;100.00;100.00;99.50
146000;100.00;100.00;100.00;100.00
147000;100.00;100.00;100.00;98.80
148000;100.00;100.00;99.60;99.90
149000;100.00;100.00;100.00;99.60
150000;100.00;100.00;100.00;99.30
151000;100.00;100.00;100.00;99.70
152000;100.00;100.00;100.00;99.30
153000;100.00;100.00;99.70;99.50
154000;100.00;100.00;100.00;99.70
155000;100.00;100.00;100.00;99.60
156000;100.00;100.00;100.00;99.20
157000;100.00;100.00;100.00;99.60
158000;100.00;100.00;100.00;99.30
159000;100.00;100.00;99.40;99.50
160000;100.00;100.00;100.00;98.90
161000;100.00;100.00;100.00;99.20
162000;100.00;100.00;100.00;99.80
163000;100.00;100.00;100.00;99.00
164000;100.00;100.00;100.00;99.00
165000;100.00;100.00;100.00;100.00
166000;100.00;100.00;100.00;99.50
167000;100.00;100.00;100.00;100.00
168000;100.00;100.00;100.00;99.30
169000;100.00;100.00;100.00;99.10
170000;100.00;100.00;100.00;99.10
171000;100.00;100.00;100.00;99.40
172000;100.00;100.00;100.00;99.80
173000;100.00;100.00;100.00;99.70
174000;100.00;100.00;100.00;100.00
175000;100.00;100.00;100.00;99.40
176000;100.00;100.00;100.00;99.70
177000;100.00;100.00;100.00;99.80
178000;100.00;100.00;100.00;99.20
179000;100.00;100.00;100.00;99.50
180000;100.00;100.00;100.00;99.90
181000;100.00;100.00;100.00;99.50
182000;100.00;100.00;100.00;99.30
183000;100.00;100.00;100.00;99.30
184000;100.00;100.00;100.00;99.80
185000;100.00;100.00;100.00;99.90
186000;100.00;100.00;100.00;99.90
187000;100.00;100.00;100.00;99.90
188000;100.00;100.00;100.00;99.10
189000;100.00;100.00;100.00;99.10
190000;100.00;100.00;100.00;99.80
191000;100.00;100.00;100.00;99.10
192000;100.00;100.00;100.00;99.10
193000;100.00;100.00;100.00;100.00
194000;100.00;100.00;100.00;99.70
195000;100.00;100.00;100.00;99.20
196000;100.00;100.00;100.00;100.00
197000;100.00;100.00;100.00;99.60
198000;100.00;100.00;100.00;99.30
199000;100.00;100.00;100.00;99.90
200000;100.00;100.00;100.00;99.30
201000;100.00;100.00;100.00;99.50
202000;100.00;100.00;100.00;100.00
203000;100.00;100.00;100.00;99.30
204000;100.00;100.00;100.00;99.70
205000;100.00;100.00;100.00;99.70
206000;100.00;100.00;100.00;99.70
207000;100.00;100.00;100.00;100.00
208000;100.00;100.00;100.00;99.20
209000;100.00;100.00;100.00;99.30
210000;100.00;100.00;100.00;99.40
211000;100.00;100.00;100.00;99.20
212000;100.00;100.00;100.00;99.60
213000;100.00;100.00;100.00;100.00
214000;100.00;100.00;100.00;100.00
215000;100.00;100.00;100.00;99.30
216000;100.00;100.00;100.00;99.70
217000;100.00;100.00;100.00;99.30
218000;100.00;100.00;100.00;99.30
219000;100.00;100.00;100.00;99.80
220000;100.00;100.00;100.00;99.50
221000;100.00;100.00;100.00;99.80
222000;100.00;100.00;100.00;99.40
223000;100.00;100.00;100.00;99.50
224000;100.00;100.00;100.00;99.80
225000;100.00;100.00;100.00;99.60
226000;100.00;100.00;100.00;99.60
227000;100.00;100.00;100.00;99.50
228000;100.00;100.00;100.00;99.40
229000;100.00;100.00;100.00;99.40
230000;100.00;100.00;100.00;99.90
231000;100.00;100.00;100.00;99.70
232000;100.00;100.00;100.00;99.60
233000;100.00;100.00;100.00;99.90
234000;100.00;100.00;100.00;99.90
235000;100.00;100.00;100.00;99.50
236000;100.00;100.00;100.00;99.70
237000;100.00;100.00;100.00;99.90
238000;100.00;100.00;100.00;99.80
239000;100.00;100.00;100.00;99.80
240000;100.00;100.00;100.00;100.00
241000;100.00;100.00;100.00;99.70
242000;100.00;100.00;100.00;100.00
243000;100.00;100.00;100.00;99.50
244000;100.00;100.00;100.00;99.50
245000;100.00;100.00;100.00;99.40
246000;100.00;100.00;100.00;99.30
247000;100.00;100.00;100.00;99.30
248000;100.00;100.00;100.00;99.40
249000;100.00;100.00;100.00;99.40
250000;100.00;100.00;100.00;99.50
251000;100.00;100.00;100.00;99.40
252000;100.00;100.00;100.00;99.70
253000;100.00;100.00;100.00;99.40
254000;100.00;100.00;100.00;99.70
255000;100.00;100.00;100.00;99.90
256000;100.00;100.00;100.00;99.60
257000;100.00;100.00;100.00;99.50
258000;100.00;100.00;100.00;99.30
259000;100.00;100.00;100.00;99.50
260000;100.00;100.00;100.00;99.80
261000;100.00;100.00;100.00;99.80
