Sizes;NOINIT_WRITE;INIT_WRITE;NOINIT_READ;INIT_READ
2000;100.00;0.10;0.10;0.12
3000;0.25;0.28;0.16;0.16
4000;0.78;0.29;0.21;0.40
5000;100.00;100.00;0.28;0.24
6000;100.00;100.00;0.35;0.37
7000;100.00;100.00;0.40;0.66
8000;100.00;100.00;0.44;1.91
9000;100.00;100.00;12.30;7.18
10000;100.00;100.00;0.68;4.84
11000;100.00;100.00;0.64;0.66
12000;100.00;100.00;0.77;0.53
13000;100.00;100.00;0.78;1.39
14000;100.00;100.00;1.20;0.48
15000;100.00;100.00;0.84;0.59
16000;100.00;100.00;1.01;1.32
17000;100.00;100.00;1.37;1.38
18000;100.00;100.00;2.40;1.28
19000;100.00;100.00;2.01;1.41
20000;100.00;100.00;1.23;1.20
21000;100.00;100.00;1.21;1.30
22000;100.00;100.00;1.30;2.13
23000;100.00;100.00;1.33;1.03
24000;100.00;100.00;2.19;1.54
25000;100.00;100.00;1.58;1.13
26000;100.00;100.00;3.74;2.37
27000;100.00;100.00;3.00;2.72
28000;100.00;100.00;1.63;2.36
29000;100.00;100.00;1.71;2.54
30000;100.00;100.00;1.70;2.48
31000;100.00;100.00;1.84;2.46
32000;100.00;100.00;1.95;1.08
33000;100.00;100.00;1.92;1.97
34000;100.00;100.00;2.02;3.37
35000;100.00;100.00;2.19;1.85
36000;100.00;100.00;2.32;2.25
37000;100.00;100.00;2.19;4.53
38000;100.00;100.00;2.32;0.98
39000;100.00;100.00;2.43;4.66
40000;100.00;100.00;2.42;0.57
41000;100.00;100.00;2.64;4.87
42000;100.00;100.00;2.57;1.03
43000;100.00;100.00;2.58;5.31
44000;100.00;100.00;3.23;2.18
45000;100.00;100.00;2.89;5.68
46000;100.00;100.00;2.96;3.09
47000;100.00;100.00;3.01;0.79
48000;100.00;100.00;3.12;5.94
49000;100.00;100.00;3.19;3.38
50000;100.00;100.00;3.63;0.77
51000;100.00;100.00;3.17;6.29
52000;100.00;100.00;3.19;3.37
53000;100.00;100.00;3.34;1.56
54000;100.00;100.00;3.67;6.73
55000;100.00;100.00;3.73;6.52
56000;100.00;100.00;5.20;4.00
57000;100.00;100.00;99.77;22.39
58000;100.00;100.00;99.97;7.82
59000;100.00;100.00;100.00;7.20
60000;100.00;100.00;99.98;4.80
61000;100.00;100.00;99.99;3.21
62000;100.00;100.00;100.00;7.69
63000;100.00;100.00;100.00;7.80
64000;100.00;100.00;100.00;4.63
65000;100.00;100.00;99.99;4.97
66000;100.00;100.00;99.99;3.53
67000;100.00;100.00;100.00;7.79
68000;100.00;100.00;100.00;8.60
69000;100.00;100.00;100.00;8.36
70000;100.00;100.00;99.98;4.91
71000;100.00;100.00;99.98;5.58
72000;100.00;100.00;100.00;3.19
73000;100.00;100.00;100.00;8.94
74000;100.00;100.00;100.00;9.09
75000;100.00;100.00;99.98;9.15
76000;100.00;100.00;100.00;4.48
77000;100.00;100.00;100.00;5.05
78000;100.00;100.00;100.00;4.96
79000;100.00;100.00;100.00;2.98
80000;100.00;100.00;100.00;0.63
