Size (Byte);NOINIT_RND_WRITE ExpectedValue;NOINIT_RND_WRITE Stddev;INIT_RND_WRITE ExpectedValue;INIT_RND_WRITE Stddev
1;0.0000;0.0000;0.0000;0.0000
1001;0.0500;0.2598;0.0000;0.0000
2001;0.0600;0.2375;0.0800;0.2713
3001;0.1800;0.4556;0.1300;0.3648
4001;0.1500;0.3841;0.4000;0.8718
5001;0.2200;0.4812;0.3000;0.7000
6001;0.4000;0.9695;0.3100;0.7307
7001;0.3900;1.0478;0.5200;1.0048
8001;0.4600;1.0336;0.5800;0.9075
9001;0.8800;1.2983;0.8100;1.2140
10001;1.0700;1.9609;0.5500;1.0712
11001;0.4800;0.6705;0.6900;1.1287
12001;3.7700;2.2488;2.3700;1.6832
13001;2.7200;2.5301;2.9100;1.6437
14001;5.4100;3.0169;1.9800;1.3189
15001;5.1900;3.3636;1.7200;1.4566
16001;50.5500;29.0728;3.5200;1.5394
17001;72.4000;20.3244;4.6900;1.7475
18001;77.3500;14.1636;6.6900;2.3396
19001;78.7900;15.9814;6.8300;2.0448
20001;99.9900;0.1000;10.4900;2.5787
21001;99.9700;0.2984;12.1700;2.4085
22001;99.9800;0.1975;11.3700;2.1802
23001;100.0000;0.0000;14.9100;3.0036
24001;100.0000;0.0000;29.4000;7.4900
25001;100.0000;0.0000;28.3900;7.1581
26001;100.0000;0.0000;30.8500;9.7636
27001;100.0000;0.0000;37.5300;12.1643
28001;100.0000;0.0000;100.0000;0.0000
29001;100.0000;0.0000;100.0000;0.0000
30001;100.0000;0.0000;100.0000;0.0000
31001;100.0000;0.0000;100.0000;0.0000
32001;100.0000;0.0000;100.0000;0.0000
33001;100.0000;0.0000;100.0000;0.0000
34001;100.0000;0.0000;100.0000;0.0000
35001;100.0000;0.0000;100.0000;0.0000
36001;100.0000;0.0000;100.0000;0.0000
37001;100.0000;0.0000;100.0000;0.0000
38001;100.0000;0.0000;100.0000;0.0000
39001;100.0000;0.0000;100.0000;0.0000
