Sizes;NOINIT_SEQ_WRITE;INIT_SEQ_WRITE
0;0.00;0.00
250;0.04;0.05
500;0.13;0.06
750;0.10;0.11
1000;0.12;0.18
1250;0.16;0.21
1500;0.24;0.22
1750;0.34;0.25
2000;0.38;0.34
2250;0.36;0.34
2500;0.63;0.50
2750;0.70;0.57
3000;0.81;0.54
3250;1.18;0.57
3500;8.13;0.81
3750;5.55;0.85
4000;6.74;0.90
4250;6.38;0.90
4500;89.15;62.75
4750;100.00;83.44
5000;100.00;70.29
5250;100.00;83.73
5500;100.00;98.39
5750;100.00;95.19
6000;100.00;99.22
6250;100.00;95.15
6500;100.00;95.53
6750;100.00;99.92
7000;100.00;99.89
7250;100.00;99.99
7500;100.00;99.96
7750;100.00;100.00
8000;100.00;100.00
8250;100.00;100.00
8500;100.00;100.00
8750;100.00;100.00
9000;100.00;100.00
9250;100.00;100.00
9500;100.00;100.00
9750;100.00;100.00
10000;100.00;100.00
