Sizes;NOINIT_SEQ_WRITE;INIT_SEQ_WRITE
0;0.00;0.00
250;0.00;0.00
500;0.00;0.00
750;0.00;0.00
1000;0.00;0.00
1250;0.00;0.00
1500;0.00;0.00
1750;0.01;0.01
2000;0.01;0.01
2250;0.01;0.01
2500;0.01;0.01
2750;0.01;0.01
3000;0.01;0.01
3250;0.01;0.01
3500;0.01;0.01
3750;0.01;0.01
4000;0.01;0.01
4250;0.01;0.01
4500;0.01;0.01
4750;0.01;0.01
5000;0.01;0.01
5250;0.01;0.01
5500;0.01;0.01
5750;0.01;0.01
6000;0.01;0.01
6250;0.01;0.01
6500;0.01;0.01
6750;0.01;0.01
7000;0.01;0.01
7250;0.01;0.01
7500;0.01;0.01
7750;0.01;0.01
8000;0.01;0.01
8250;0.01;0.01
8500;0.01;0.01
8750;0.01;0.01
9000;0.01;0.01
9250;0.01;0.01
9500;0.01;0.01
9750;0.01;0.01
10000;0.01;0.01
